id,first_name,height_feet,height_inches,last_name,position,team,weight_pounds,team_id
14,Ike,,,Anigbogu,C,IND,,12
25,Ron,,,Baker,G,NYK,,20
47,Jabari,,,Bird,G,BOS,,2
67,MarShon,,,Brooks,G,MEM,,15
71,Lorenzo,,,Brown,G,TOR,,28
90,Omri,,,Casspi,F,MEM,,15
1,Alex,6.0,6.0,Abrines,G,OKC,200.0,21
119,Tyler,,,Davis,C,OKC,,21
149,Keenan,,,Evans,G,DET,,9
179,Marcin,,,Gortat,C,LAC,,13
1593,Andrew,,,Bogut,F,GSW,,10
241,Amir,6.0,9.0,Johnson,C-F,PHI,240.0,23
392,Malachi,,,Richardson,G,UTA,,29
281,Zach,,,Lofton,G,DET,,9
263,Kosta,7.0,0.0,Koufos,C,SAC,245.0,26
382,Billy,,,Preston,F,CLE,,6
384,Zhou,,,Qi,F-C,HOU,,11
388,Zach,,,Randolph,F,SAC,,26
430,DJ,,,Stephens,G-F,MEM,,15
437,Milos,,,Teodosic,G,LAC,,13
448,Gary,,,Trent Jr.,G,POR,,25
494,Michael,,,Smith,,BOS,,2
495,John,,,Morton,,CLE,,6
496,Howard,,,Wright,,ATL,,1
497,Michael,,,Ansley,,ORL,,22
498,John,,,Salley,,DET,,9
499,Dan,,,Schayes,,MIL,,17
500,Mark,,,Eaton,,UTA,,29
501,Kevin,,,Johnson,,PHX,,24
502,Danny,,,Ainge,,POR,,25
503,Kenny,,,Smith,,HOU,,11
504,Randy,,,Breuer,,MIN,,18
505,Herb,,,Williams,,DAL,,7
506,Joe,,,Wolf,,DEN,,8
507,Steve,,,Johnson,,GSW,,10
508,Glen,,,Rice,,MIA,,16
509,Greg,,,Foster,,WAS,,30
510,Larry,,,Nance,,CLE,,6
511,Duane,,,Ferrell,,ATL,,1
512,Nick,,,Anderson,,ORL,,22
513,Joe,,,Dumars,,DET,,9
514,Jay,,,Humphries,,MIL,,17
515,Darrell,,,Griffith,,UTA,,29
516,Dan,,,Majerle,,PHX,,24
517,Tom,,,Chambers,,PHX,,24
518,Alaa,,,Abdelnaby,,POR,,25
519,Adrian,,,Caldwell,,HOU,,11
520,Vernon,,,Maxwell,,HOU,,11
521,Doug,,,West,,MIN,,18
522,Tony,,,Campbell,,MIN,,18
14,Ike,,,Anigbogu,C,IND,,12
25,Ron,,,Baker,G,NYK,,20
47,Jabari,,,Bird,G,BOS,,2
67,MarShon,,,Brooks,G,MEM,,15
71,Lorenzo,,,Brown,G,TOR,,28
90,Omri,,,Casspi,F,MEM,,15
1,Alex,6.0,6.0,Abrines,G,OKC,200.0,21
119,Tyler,,,Davis,C,OKC,,21
149,Keenan,,,Evans,G,DET,,9
179,Marcin,,,Gortat,C,LAC,,13
1593,Andrew,,,Bogut,F,GSW,,10
241,Amir,6.0,9.0,Johnson,C-F,PHI,240.0,23
392,Malachi,,,Richardson,G,UTA,,29
281,Zach,,,Lofton,G,DET,,9
263,Kosta,7.0,0.0,Koufos,C,SAC,245.0,26
382,Billy,,,Preston,F,CLE,,6
384,Zhou,,,Qi,F-C,HOU,,11
388,Zach,,,Randolph,F,SAC,,26
430,DJ,,,Stephens,G-F,MEM,,15
437,Milos,,,Teodosic,G,LAC,,13
448,Gary,,,Trent Jr.,G,POR,,25
494,Michael,,,Smith,,BOS,,2
495,John,,,Morton,,CLE,,6
496,Howard,,,Wright,,ATL,,1
497,Michael,,,Ansley,,ORL,,22
498,John,,,Salley,,DET,,9
499,Dan,,,Schayes,,MIL,,17
500,Mark,,,Eaton,,UTA,,29
501,Kevin,,,Johnson,,PHX,,24
502,Danny,,,Ainge,,POR,,25
503,Kenny,,,Smith,,HOU,,11
504,Randy,,,Breuer,,MIN,,18
505,Herb,,,Williams,,DAL,,7
506,Joe,,,Wolf,,DEN,,8
507,Steve,,,Johnson,,GSW,,10
